dyear,daily_fare,daily_miles,var,group,year
2011-02-24,3901132.4112001294,697281.9599999861,paytype,Cash,2011
2011-02-25,3725489.0447999705,698206.4599999909,paytype,Credit,2011
2011-02-25,4196077.804800276,744033.4800000018,paytype,Cash,2011
2011-02-26,3352315.5648000594,643052.1800000037,paytype,Credit,2011
2011-02-26,4358925.993600146,804895.3999999721,paytype,Cash,2011
2011-02-27,3078338.4576000106,629455.5299999915,paytype,Credit,2011
2011-02-27,3736681.4160002302,739992.1599999974,paytype,Cash,2011
2011-02-28,3114767.131200036,607269.0199999933,paytype,Credit,2011
2011-02-28,3377291.040000148,619114.1300000018,paytype,Cash,2011
2011-03-01,3381881.976000082,644915.0000000079,paytype,Credit,2011
2011-03-01,3612070.4400001513,647232.4000000035,paytype,Cash,2011
2011-03-02,3652626.4272000934,695285.6000000172,paytype,Credit,2011
2011-03-02,3809956.9248001506,681075.4299999811,paytype,Cash,2011
2011-03-03,3890741.212800185,731369.7499999886,paytype,Credit,2011
2011-03-03,4081511.2320001894,722524.0499999763,paytype,Cash,2011
2011-03-04,3841011.1440001065,727579.1100000127,paytype,Credit,2011
2011-03-04,4367379.54240008,784183.9500000016,paytype,Cash,2011
2011-03-05,3401513.7984000747,655029.2499999941,paytype,Credit,2011
2011-03-05,4568030.251200221,845553.6200000072,paytype,Cash,2011
2011-03-06,3165195.1392000853,639364.370000002,paytype,Credit,2011
2011-03-06,4043154.283200198,779521.17000001,paytype,Cash,2011
2011-03-07,3279926.5488000074,650640.9500000055,paytype,Credit,2011
2011-03-07,3594436.6752001625,664403.6899999911,paytype,Cash,2011
2011-03-08,3448410.163200062,655695.3500000093,paytype,Credit,2011
2011-03-08,3768771.5568000604,671806.640000005,paytype,Cash,2011
2011-03-09,3720687.29280017,708674.6799999997,paytype,Credit,2011
2011-03-09,3892800.009600159,692568.8900000012,paytype,Cash,2011
2011-03-10,3869606.6352001037,716310.9200000013,paytype,Credit,2011
2011-03-10,3970899.576000095,692274.1599999979,paytype,Cash,2011
2011-03-11,3879779.212800067,742972.920000001,paytype,Credit,2011
2011-03-11,4315485.067200262,781823.0000000093,paytype,Cash,2011
2011-03-12,3456094.7952000373,669695.33999999,paytype,Credit,2011
2011-03-12,4640313.643200163,860892.5799999684,paytype,Cash,2011
2011-03-13,3068088.0336000016,632338.6900000024,paytype,Credit,2011
2011-03-13,3895808.1120001855,773993.469999995,paytype,Cash,2011
2011-03-14,3066144.695999993,608705.1900000023,paytype,Credit,2011
2011-03-14,3480181.200000097,647949.7600000118,paytype,Cash,2011
2011-03-15,3433734.331200097,650574.6300000058,paytype,Credit,2011
2011-03-15,3775552.22880011,671252.2100000024,paytype,Cash,2011
2011-03-16,3668568.4512000433,686459.6900000065,paytype,Credit,2011
2011-03-16,3922185.6144000557,690015.1700000094,paytype,Cash,2011
2011-03-17,3696573.6000000285,695914.9299999953,paytype,Credit,2011
2011-03-17,4198020.998400123,746987.7800000025,paytype,Cash,2011
2011-03-18,3850518.1680001016,734889.5799999945,paytype,Credit,2011
2011-03-18,4643512.5600002175,843764.379999995,paytype,Cash,2011
2011-03-19,3412471.507200002,660126.5299999926,paytype,Credit,2011
2011-03-19,4692507.249600187,871470.5899999946,paytype,Cash,2011
2011-03-20,3291430.449600003,675687.820000008,paytype,Credit,2011
2011-03-20,4106139.926400245,813233.540000001,paytype,Cash,2011
2011-03-21,3149831.015999977,625790.5999999954,paytype,Credit,2011
2011-03-21,3443287.795200145,640699.2299999868,paytype,Cash,2011
2011-03-22,3350940.8831999716,643611.9499999944,paytype,Credit,2011
2011-03-22,3555857.894400157,644286.1000000034,paytype,Cash,2011
2011-03-23,3624933.8592000925,681436.2699999873,paytype,Credit,2011
2011-03-23,3686787.2592000663,652100.6800000116,paytype,Cash,2011
2011-03-24,3781734.0048000473,729170.3499999966,paytype,Credit,2011
2011-03-24,3863536.2720000725,705206.5500000061,paytype,Cash,2011
2011-03-25,3823256.822400035,720711.2699999918,paytype,Credit,2011
2011-03-25,4310979.350400268,776622.6899999887,paytype,Cash,2011
2011-03-26,3373912.6848000204,651074.5500000021,paytype,Credit,2011
2011-03-26,4486938.07680025,830635.5699999864,paytype,Cash,2011
2011-03-27,3130949.9376000306,642405.2600000007,paytype,Credit,2011
2011-03-27,3879818.366400238,768369.0199999757,paytype,Cash,2011
2011-03-28,3039227.769600005,604233.7299999933,paytype,Credit,2011
2011-03-28,3340026.086400024,624506.3699999928,paytype,Cash,2011
2011-03-29,3380458.838400014,652032.5599999819,paytype,Credit,2011
2011-03-29,3551515.4592001517,647342.1300000099,paytype,Cash,2011
2011-03-30,3538085.19840001,688084.8699999967,paytype,Credit,2011
2011-03-30,3628361.606400172,664597.069999998,paytype,Cash,2011
2011-03-31,3840817.8960000505,728907.8299999973,paytype,Credit,2011
2011-03-31,3941390.2752001327,711842.6099999932,paytype,Cash,2011
2011-04-01,1935722.8655999952,363529.2999999986,paytype,Credit,2011
2011-04-01,2157293.9087999715,384313.1999999959,paytype,Cash,2011
2011-04-02,1654256.1744000004,320677.79999999894,paytype,Credit,2011
2011-04-02,2242168.358399993,415445.3000000018,paytype,Cash,2011
2011-04-03,1565428.3631999847,319802.3999999974,paytype,Credit,2011
2011-04-03,2020257.7488000134,397340.0999999977,paytype,Cash,2011
2011-04-04,3113388.9936000607,620935.9200000031,paytype,Credit,2011
2011-04-04,3451393.5552000515,650843.2000000069,paytype,Cash,2011
2011-04-05,3570847.128000023,671128.3500000049,paytype,Credit,2011
2011-04-05,3803783.299200161,668956.9499999975,paytype,Cash,2011
2011-04-06,3704470.7040000656,690788.5700000145,paytype,Credit,2011
2011-04-06,3859625.664000065,678346.7900000202,paytype,Cash,2011
2011-04-07,3883523.2272000574,735616.6400000002,paytype,Credit,2011
2011-04-07,4056683.774400176,726597.2100000175,paytype,Cash,2011
2011-04-08,3917186.640000065,736461.4599999995,paytype,Credit,2011
2011-04-08,4365199.857599989,778731.6200000097,paytype,Cash,2011
2011-04-09,3407551.286400113,647475.0000000001,paytype,Credit,2011
2011-04-09,4513573.353600254,828118.0700000077,paytype,Cash,2011
2011-04-10,3223549.065600037,666738.8299999862,paytype,Credit,2011
2011-04-10,3951172.6128001255,789813.8599999978,paytype,Cash,2011
2011-04-11,3225416.1840000222,640210.3999999916,paytype,Credit,2011
2011-04-11,3595067.3664001273,672739.7399999908,paytype,Cash,2011
2011-04-12,3630616.3439999935,683247.7699999894,paytype,Credit,2011
2011-04-12,3843682.7328001503,679205.9099999956,paytype,Cash,2011
2011-04-13,3757295.3615999464,712711.2499999949,paytype,Credit,2011
2011-04-13,3856985.3088001143,689129.5500000214,paytype,Cash,2011
2011-04-14,3898170.9935999936,745290.0299999998,paytype,Credit,2011
2011-04-14,4068547.113600203,737092.6400000291,paytype,Cash,2011
2011-04-15,3928732.8480000673,746598.0399999814,paytype,Credit,2011
2011-04-15,4438209.470400227,801905.5500000003,paytype,Cash,2011
2011-04-16,3393403.473600057,649679.1899999895,paytype,Credit,2011
2011-04-16,4599229.305600317,847093.4599999945,paytype,Cash,2011
2011-04-17,3000832.2144000195,618546.8599999936,paytype,Credit,2011
2011-04-17,3888929.6784001966,775245.3400000054,paytype,Cash,2011
2011-04-18,2921164.156800055,580798.8099999904,paytype,Credit,2011
2011-04-18,3674031.307200091,691385.5600000153,paytype,Cash,2011
2011-04-19,3166630.9631999666,610117.2999999906,paytype,Credit,2011
2011-04-19,3825952.041600108,695113.4099999956,paytype,Cash,2011
2011-04-20,3470697.115200039,661234.649999982,paytype,Credit,2011
2011-04-20,4038816.297600187,728273.8200000031,paytype,Cash,2011
2011-04-21,3671371.1088001346,691797.1400000065,paytype,Credit,2011
2011-04-21,4364277.912000198,780445.4000000072,paytype,Cash,2011
2011-04-22,3353525.3808000754,648562.1999999965,paytype,Credit,2011
2011-04-22,4390629.652800087,809369.0699999969,paytype,Cash,2011
2011-04-23,2778408.6480000177,541712.5899999958,paytype,Credit,2011
2011-04-23,4231452.3120002635,796433.9599999904,paytype,Cash,2011
2011-04-24,2682992.7792000254,552459.4399999992,paytype,Credit,2011
2011-04-24,3819930.624000158,767344.7899999951,paytype,Cash,2011
2011-04-25,3029045.414400001,618492.9500000002,paytype,Credit,2011
2011-04-25,3590756.12160004,694442.9499999989,paytype,Cash,2011
2011-04-26,3416917.6800000393,667254.0399999906,paytype,Credit,2011
2011-04-26,3886569.777600066,722267.0299999944,paytype,Cash,2011
2011-04-27,3732244.6032000226,702202.950000005,paytype,Credit,2011
2011-04-27,4018011.264000226,719301.3400000047,paytype,Cash,2011
2011-04-28,3919151.2463999945,732473.1599999727,paytype,Credit,2011
2011-04-28,4158302.112000251,743111.4800000067,paytype,Cash,2011
2011-04-29,3978803.0159999924,758147.6999999937,paytype,Credit,2011
2011-04-29,4544873.0928003015,828522.520000022,paytype,Cash,2011
2011-04-30,3426707.649600018,655633.3900000033,paytype,Credit,2011
2011-04-30,4584136.17600019,852273.2099999923,paytype,Cash,2011
2011-05-01,3249100.137600011,663921.2199999954,paytype,Credit,2011
2011-05-01,4097362.8096002527,815768.1499999953,paytype,Cash,2011
2011-05-02,3351327.3648000127,666892.1399999928,paytype,Credit,2011
2011-05-02,3702050.121600065,699254.0400000077,paytype,Cash,2011
2011-05-03,3511004.3856000276,672869.0599999927,paytype,Credit,2011
2011-05-03,3799465.804800187,687916.620000019,paytype,Cash,2011
2011-05-04,3872938.665600028,715758.919999995,paytype,Credit,2011
2011-05-04,4020524.2944000866,702268.8400000044,paytype,Cash,2011
2011-05-05,3901633.4160000877,736341.149999985,paytype,Credit,2011
2011-05-05,4100347.4976000963,737286.8500000032,paytype,Cash,2011
2011-05-06,3958698.9744000155,756552.8199999918,paytype,Credit,2011
2011-05-06,4438883.419200205,810637.0900000031,paytype,Cash,2011
2011-05-07,3213829.3104000296,628245.4999999988,paytype,Credit,2011
2011-05-07,4334206.752000165,819855.3300000142,paytype,Cash,2011
2011-05-08,3002052.643200018,624504.7300000022,paytype,Credit,2011
2011-05-08,3876292.382400139,781498.1500000032,paytype,Cash,2011
2011-05-09,3204280.6847999976,642329.1599999985,paytype,Credit,2011
2011-05-09,3542733.115200059,670781.2499999963,paytype,Cash,2011
2011-05-10,3561235.9344000914,685037.9400000103,paytype,Credit,2011
2011-05-10,3832244.294400224,696979.9100000099,paytype,Cash,2011
2011-05-11,3767513.6880000443,716112.6299999944,paytype,Credit,2011
2011-05-11,3897572.299200132,703342.3700000073,paytype,Cash,2011
2011-05-12,3990591.4320001174,759277.740000006,paytype,Credit,2011
2011-05-12,4195183.0176001685,757468.0200000068,paytype,Cash,2011
2011-05-13,3978590.759999992,761564.4099999627,paytype,Credit,2011
2011-05-13,4459696.63200016,813042.2899999704,paytype,Cash,2011
2011-05-14,3543037.86239995,689261.5399999924,paytype,Credit,2011
2011-05-14,4656723.868800217,872769.279999987,paytype,Cash,2011
2011-05-15,3321966.283199998,673188.990000002,paytype,Credit,2011
2011-05-15,4096164.009600167,808163.6599999905,paytype,Cash,2011
2011-05-16,3421256.4144001156,662166.7400000115,paytype,Credit,2011
2011-05-16,3993047.7696000165,733425.979999999,paytype,Cash,2011
2011-05-17,3811727.44799994,721526.5300000025,paytype,Credit,2011
2011-05-17,4072096.4976002164,732081.0400000133,paytype,Cash,2011
2011-05-18,3881612.577600029,718718.4899999937,paytype,Credit,2011
2011-05-18,4079065.492800107,717274.1999999967,paytype,Cash,2011
2011-05-19,4076778.153600041,773358.8699999859,paytype,Credit,2011
2011-05-19,4268063.995200011,771932.2800000099,paytype,Cash,2011
2011-05-20,3984744.0672000893,749357.8399999915,paytype,Credit,2011
2011-05-20,4522280.630400033,813564.8100000157,paytype,Cash,2011
2011-05-21,3506732.611200039,673300.6800000072,paytype,Credit,2011
2011-05-21,4652894.750400005,867312.7000000001,paytype,Cash,2011
2011-05-22,3295118.736000057,679156.590000012,paytype,Credit,2011
2011-05-22,4157469.73440012,829071.9800000082,paytype,Cash,2011
2011-05-23,3331782.2304000994,659203.06,paytype,Credit,2011
2011-05-23,3724757.568000036,698589.9899999986,paytype,Cash,2011
2011-05-24,3661630.891200069,697618.0800000159,paytype,Credit,2011
2011-05-24,3903220.5264001107,705219.229999977,paytype,Cash,2011
2011-05-25,3806184.5568000493,720860.4100000097,paytype,Credit,2011
2011-05-25,3981658.8240001756,714952.1500000034,paytype,Cash,2011
2011-05-26,3881814.6383999996,734046.7099999877,paytype,Credit,2011
2011-05-26,4079199.960000137,731992.9900000188,paytype,Cash,2011
2011-05-27,3531454.9199999925,682033.8500000102,paytype,Credit,2011
2011-05-27,4198424.688000201,777830.7199999751,paytype,Cash,2011
2011-05-28,2526898.7664000443,514942.1700000096,paytype,Credit,2011
2011-05-28,3912542.1360001466,766503.3399999839,paytype,Cash,2011
2011-05-29,2212017.8688000035,464408.59000000654,paytype,Credit,2011
2011-05-29,3541307.4432000318,718282.8999999976,paytype,Cash,2011
2011-05-30,2345269.1327999947,514721.45,paytype,Credit,2011
2011-05-30,3031748.452800008,642145.0900000039,paytype,Cash,2011
2011-05-31,3272913.4752000286,647564.6500000006,paytype,Credit,2011
2011-05-31,3631213.310400086,673196.4199999993,paytype,Cash,2011
2011-06-01,3571240.103999993,676361.4000000033,paytype,Credit,2011
2011-06-01,3957031.008000067,707750.7099999941,paytype,Cash,2011
2011-06-02,3787730.899200088,717299.1199999865,paytype,Credit,2011
2011-06-02,4087902.283200191,739113.6700000032,paytype,Cash,2011
2011-06-03,3660596.755199973,700086.0299999809,paytype,Credit,2011
2011-06-03,4308708.484800197,786741.8400000052,paytype,Cash,2011
2011-06-04,3260478.2544000116,645169.4899999896,paytype,Credit,2011
2011-06-04,4330484.193600063,830940.3399999817,paytype,Cash,2011
2011-06-05,3252298.132799981,668991.3999999968,paytype,Credit,2011
2011-06-05,3857319.403200151,772691.6799999845,paytype,Cash,2011
2011-06-06,3375357.2352000247,672694.9099999943,paytype,Credit,2011
2011-06-06,3696218.2368000643,696354.3100000022,paytype,Cash,2011
2011-06-07,3745806.4799999776,714190.4600000071,paytype,Credit,2011
2011-06-07,3894593.0832002964,703122.6999999961,paytype,Cash,2011
2011-06-08,3950369.4960001376,747934.2899999899,paytype,Credit,2011
2011-06-08,4035694.420800152,726527.260000003,paytype,Cash,2011
2011-06-09,4052693.160000088,758928.9399999882,paytype,Credit,2011
2011-06-09,4157599.2624001415,738927.7399999839,paytype,Cash,2011
2011-06-10,4027956.580800032,773015.6800000068,paytype,Credit,2011
2011-06-10,4363406.539200131,802387.6699999982,paytype,Cash,2011
2011-06-11,3306134.361599947,645411.0700000073,paytype,Credit,2011
2011-06-11,4343486.126400357,817435.7999999768,paytype,Cash,2011
2011-06-12,3050445.7296000207,633893.730000005,paytype,Credit,2011
2011-06-12,3717950.774400065,755112.2599999922,paytype,Cash,2011
2011-06-13,3334650.7824000535,672730.4400000041,paytype,Credit,2011
2011-06-13,3624763.5072000907,693227.3100000056,paytype,Cash,2011
2011-06-14,3602910.8592000348,685466.1499999951,paytype,Credit,2011
2011-06-14,3745372.1904000673,674926.1800000063,paytype,Cash,2011
2011-06-15,3814691.4143998837,724827.7900000109,paytype,Credit,2011
2011-06-15,3894015.067200056,702418.9599999873,paytype,Cash,2011
2011-06-16,3983663.548800063,762181.2199999989,paytype,Credit,2011
2011-06-16,4057137.057600107,738835.1100000027,paytype,Cash,2011
2011-06-17,3790361.059200038,718580.8099999963,paytype,Credit,2011
2011-06-17,4116253.3632001304,744493.3899999831,paytype,Cash,2011
2011-06-18,3303490.262400047,657689.6999999997,paytype,Credit,2011
2011-06-18,4291012.483200067,826736.6799999906,paytype,Cash,2011
2011-06-19,3036543.5952000255,640294.8900000092,paytype,Credit,2011
2011-06-19,3776503.550400082,775004.7599999931,paytype,Cash,2011
2011-06-20,3231307.929600044,654272.2300000101,paytype,Credit,2011
2011-06-20,3578106.9744000514,685780.0999999993,paytype,Cash,2011
2011-06-21,3501086.99040007,673653.2600000065,paytype,Credit,2011
2011-06-21,3704808.6288001244,673673.1400000143,paytype,Cash,2011
2011-06-22,3794303.1024000393,724349.5499999904,paytype,Credit,2011
2011-06-22,3903316.977600093,708511.0400000139,paytype,Cash,2011
2011-06-23,3953692.7855999796,736463.0799999925,paytype,Credit,2011
2011-06-23,4028303.232000177,720871.5900000017,paytype,Cash,2011
2011-06-24,3879961.6752000675,742561.3700000133,paytype,Credit,2011
2011-06-24,4234760.64000006,774019.5699999921,paytype,Cash,2011
2011-06-25,3304782.4319999632,650553.6299999906,paytype,Credit,2011
2011-06-25,4289718.974400085,819094.730000009,paytype,Cash,2011
2011-06-26,3126239.9136000606,642311.930000008,paytype,Credit,2011
2011-06-26,3842965.1664000596,768732.3500000056,paytype,Cash,2011
2011-06-27,3232810.0655999673,653590.3099999907,paytype,Credit,2011
2011-06-27,3590980.5600000937,687306.420000001,paytype,Cash,2011
2011-06-28,3495631.9248000016,668541.7700000037,paytype,Credit,2011
2011-06-28,3682833.091200075,666331.2900000083,paytype,Cash,2011
2011-06-29,3705812.7552000256,712394.1499999957,paytype,Credit,2011
2011-06-29,3765247.012800087,684624.2599999915,paytype,Cash,2011
2011-06-30,3775646.1455999813,721152.1999999889,paytype,Credit,2011
2011-06-30,3849243.667200075,705974.1100000064,paytype,Cash,2011
2011-07-01,3311675.553599966,656901.1299999916,paytype,Credit,2011
2011-07-01,3845786.6160001056,731369.059999996,paytype,Cash,2011
2011-07-02,2212536.585599956,457657.0200000039,paytype,Credit,2011
2011-07-02,3388200.2064000256,675785.5999999881,paytype,Cash,2011
2011-07-03,1818483.0191999676,384114.41000000393,paytype,Credit,2011
2011-07-03,2948992.5024000397,607025.9599999926,paytype,Cash,2011
2011-07-04,2036618.5248000065,443435.82999999856,paytype,Credit,2011
2011-07-04,2695918.492800018,566589.1099999938,paytype,Cash,2011
2011-07-05,2902598.064000028,600046.9299999904,paytype,Credit,2011
2011-07-05,3382298.2656000424,660729.7400000013,paytype,Cash,2011
2011-07-06,3134907.230400095,608535.5299999976,paytype,Credit,2011
2011-07-06,3554570.304000123,658191.5300000048,paytype,Cash,2011
2011-07-07,3484920.527999989,669642.0999999956,paytype,Credit,2011
2011-07-07,3762053.5392001052,691616.5799999885,paytype,Cash,2011
2011-07-08,3556967.6016000016,677456.2099999881,paytype,Credit,2011
2011-07-08,3906767.361600057,712848.4299999971,paytype,Cash,2011
2011-07-09,3060368.7120000524,610474.4699999976,paytype,Credit,2011
2011-07-09,3836782.6128002233,744988.6899999935,paytype,Cash,2011
2011-07-10,2992117.852799963,626439.800000015,paytype,Credit,2011
2011-07-10,3584421.9936001347,736021.0300000086,paytype,Cash,2011
2011-07-11,3114388.7568000304,622871.0300000057,paytype,Credit,2011
2011-07-11,3448676.3184001218,654235.5199999925,paytype,Cash,2011
2011-07-12,3498002.352000039,669371.9799999985,paytype,Credit,2011
2011-07-12,3680326.4832000155,667916.0800000143,paytype,Cash,2011
2011-07-13,3724169.702400089,705572.9099999968,paytype,Credit,2011
2011-07-13,3753028.944000194,673855.6900000141,paytype,Cash,2011
